x,y,lon,lat
4113.416480652,666.478329613001,-71.9583892794,12.2541277372
772.67987351198,5707.3497953878,-79.005936381,1.6367670473
5118.0807291636,8456.62667410825,-69.9437820882,-4.2242465774
6540.75,5858.3333333333,-66.9325123687,1.244916195
5029.9166666667,3237.5,-70.052629556,6.8099780339
1622.8333333333,4393.75,-77.2157154932,4.3609147149
6163.04166666663,4586.45833333333,-67.7345143217,3.8897279253
2486.1666666667,1587.9166666667,-75.4249440089,10.296802783
3203.2342397371,8694.87147092885,-73.9356525329,-4.7418445165
3129.8124999996,4266.5624999997,-74.0708165577,4.6347336035
